identity,reference_image,detector_success,det_thresh,bbox
1490,Data/img_align_celeba/015807.jpg,True,0.1,"[35.44923782348633,62.6847038269043,123.59760284423828,184.17425537109375]"
1490,Data/img_align_celeba/016954.jpg,True,0.1,"[39.324005126953125,65.34393310546875,130.27276611328125,185.54701232910156]"
1490,Data/img_align_celeba/030028.jpg,True,0.1,"[46.03201675415039,66.52368927001953,130.12303161621094,178.68289184570312]"
1507,Data/img_align_celeba/029462.jpg,True,0.1,"[46.33790969848633,58.15693283081055,144.81753540039062,190.5013885498047]"
1507,Data/img_align_celeba/031105.jpg,True,0.1,"[35.56810760498047,55.67194747924805,136.6623992919922,192.03564453125]"
1507,Data/img_align_celeba/032518.jpg,True,0.1,"[29.50677490234375,58.02947235107422,128.11158752441406,186.67446899414062]"
1513,Data/img_align_celeba/031549.jpg,True,0.1,"[52.91394805908203,59.46682357788086,139.01455688476562,184.01666259765625]"
1513,Data/img_align_celeba/032132.jpg,True,0.1,"[48.232887268066406,63.91252517700195,131.2698516845703,170.697265625]"
1513,Data/img_align_celeba/034384.jpg,True,0.1,"[46.53764724731445,58.83037185668945,132.68600463867188,183.4605712890625]"
1616,Data/img_align_celeba/066937.jpg,True,0.1,"[26.625019073486328,68.82112121582031,116.84056854248047,180.96429443359375]"
1616,Data/img_align_celeba/080573.jpg,True,0.1,"[46.958473205566406,64.49585723876953,133.67034912109375,181.91372680664062]"
1616,Data/img_align_celeba/081698.jpg,True,0.1,"[66.73438262939453,51.251426696777344,157.0001983642578,187.24957275390625]"
1628,Data/img_align_celeba/036573.jpg,True,0.1,"[54.302005767822266,64.17060089111328,134.41156005859375,182.95626831054688]"
1628,Data/img_align_celeba/040455.jpg,True,0.1,"[54.11208724975586,60.19635772705078,136.31153869628906,184.7818145751953]"
1628,Data/img_align_celeba/047778.jpg,True,0.1,"[42.56066131591797,57.63587951660156,132.87762451171875,183.87808227539062]"
1629,Data/img_align_celeba/038514.jpg,True,0.1,"[57.260841369628906,54.46406936645508,146.33277893066406,191.87754821777344]"
1629,Data/img_align_celeba/044076.jpg,True,0.1,"[47.2027587890625,61.74130630493164,122.84248352050781,176.84185791015625]"
1629,Data/img_align_celeba/050071.jpg,True,0.1,"[52.35502243041992,65.3939437866211,134.0759735107422,176.1057586669922]"
1630,Data/img_align_celeba/033919.jpg,True,0.1,"[45.76277160644531,61.0636100769043,130.03761291503906,183.17227172851562]"
1630,Data/img_align_celeba/035660.jpg,True,0.1,"[44.285606384277344,56.253578186035156,137.4531707763672,191.94940185546875]"
1630,Data/img_align_celeba/037685.jpg,True,0.1,"[38.57038497924805,54.51158905029297,134.45509338378906,192.92227172851562]"
1727,Data/img_align_celeba/031438.jpg,True,0.1,"[-26.5071964263916,69.76380920410156,75.32735443115234,196.23297119140625]"
1727,Data/img_align_celeba/040813.jpg,True,0.1,"[50.98426055908203,70.95256042480469,130.98609924316406,176.22512817382812]"
1727,Data/img_align_celeba/060785.jpg,True,0.1,"[52.26345443725586,65.5097427368164,127.21259307861328,179.57421875]"
1818,Data/img_align_celeba/052348.jpg,True,0.1,"[49.2778434753418,68.49434661865234,132.2106475830078,180.78912353515625]"
1818,Data/img_align_celeba/058105.jpg,True,0.1,"[47.94869613647461,64.04586029052734,134.32806396484375,180.13128662109375]"
1818,Data/img_align_celeba/058486.jpg,True,0.1,"[40.72039031982422,67.19264221191406,124.89958953857422,180.7809600830078]"
1819,Data/img_align_celeba/034119.jpg,True,0.1,"[51.74005126953125,63.50751495361328,141.2064666748047,182.9185791015625]"
1819,Data/img_align_celeba/034179.jpg,True,0.1,"[36.73049545288086,66.85118865966797,125.38838958740234,178.96055603027344]"
1819,Data/img_align_celeba/034386.jpg,True,0.1,"[45.315364837646484,61.10548400878906,141.80581665039062,188.13995361328125]"
1916,Data/img_align_celeba/015632.jpg,True,0.1,"[47.412269592285156,67.3402328491211,132.41062927246094,186.8927764892578]"
1916,Data/img_align_celeba/022513.jpg,True,0.1,"[39.85141372680664,61.1673583984375,128.83758544921875,184.16294860839844]"
1916,Data/img_align_celeba/022872.jpg,True,0.1,"[42.906002044677734,62.2796516418457,130.90484619140625,186.47763061523438]"
2235,Data/img_align_celeba/002952.jpg,True,0.1,"[52.71543502807617,58.15287780761719,140.19244384765625,180.77618408203125]"
2235,Data/img_align_celeba/004256.jpg,True,0.1,"[41.23363494873047,56.074527740478516,132.74925231933594,183.53524780273438]"
2235,Data/img_align_celeba/004520.jpg,True,0.1,"[47.38266372680664,62.45307540893555,131.70526123046875,180.24627685546875]"
2446,Data/img_align_celeba/013817.jpg,True,0.1,"[36.518497467041016,69.06351470947266,128.2448272705078,184.73768615722656]"
2446,Data/img_align_celeba/020559.jpg,True,0.1,"[40.24808120727539,67.92784881591797,122.71013641357422,176.84271240234375]"
2446,Data/img_align_celeba/030426.jpg,True,0.1,"[44.39928436279297,65.65328216552734,130.09878540039062,177.02462768554688]"
2628,Data/img_align_celeba/045426.jpg,True,0.1,"[48.15547561645508,63.60993194580078,130.00735473632812,168.91592407226562]"
2628,Data/img_align_celeba/052099.jpg,True,0.1,"[48.07282257080078,63.77281951904297,134.56790161132812,179.6027374267578]"
2628,Data/img_align_celeba/054061.jpg,True,0.1,"[35.32216262817383,63.991722106933594,119.94757080078125,174.59303283691406]"
2877,Data/img_align_celeba/031347.jpg,True,0.1,"[39.04953384399414,65.4552993774414,122.42635345458984,175.5209197998047]"
2877,Data/img_align_celeba/035596.jpg,True,0.1,"[46.75007629394531,74.77377319335938,128.27215576171875,176.28176879882812]"
2877,Data/img_align_celeba/039433.jpg,True,0.1,"[52.75408935546875,59.37244415283203,155.24057006835938,188.50970458984375]"
2882,Data/img_align_celeba/043256.jpg,True,0.1,"[41.79105758666992,65.05532836914062,119.69910430908203,178.67417907714844]"
2882,Data/img_align_celeba/043291.jpg,True,0.1,"[47.11880874633789,59.48054885864258,130.87811279296875,179.8829803466797]"
2882,Data/img_align_celeba/066648.jpg,True,0.1,"[57.8149299621582,61.9597282409668,137.52801513671875,180.390625]"
2909,Data/img_align_celeba/016839.jpg,True,0.1,"[48.37067413330078,65.96360778808594,133.561279296875,188.75088500976562]"
2909,Data/img_align_celeba/020789.jpg,True,0.1,"[48.09736633300781,70.61090087890625,126.78898620605469,179.37159729003906]"
2909,Data/img_align_celeba/022240.jpg,True,0.1,"[56.5081672668457,69.14978790283203,138.5849151611328,180.01173400878906]"
2930,Data/img_align_celeba/017260.jpg,True,0.1,"[46.168087005615234,68.71998596191406,125.81266021728516,178.5546112060547]"
2930,Data/img_align_celeba/019031.jpg,True,0.1,"[47.446022033691406,68.48519134521484,129.14266967773438,179.4246368408203]"
2930,Data/img_align_celeba/025865.jpg,True,0.1,"[37.84951400756836,67.25336456298828,120.88275146484375,179.60694885253906]"
2953,Data/img_align_celeba/025515.jpg,True,0.1,"[43.09867477416992,66.51641845703125,120.44482421875,184.78750610351562]"
2953,Data/img_align_celeba/029261.jpg,True,0.1,"[49.59183120727539,72.02454376220703,137.8430938720703,187.38818359375]"
2953,Data/img_align_celeba/036022.jpg,True,0.1,"[34.18983840942383,62.174869537353516,127.79368591308594,182.818603515625]"
2962,Data/img_align_celeba/053114.jpg,True,0.1,"[48.09931945800781,66.61329650878906,124.09522247314453,173.0309295654297]"
2962,Data/img_align_celeba/059722.jpg,True,0.1,"[48.36773681640625,66.63220977783203,125.49337005615234,176.86302185058594]"
2962,Data/img_align_celeba/060015.jpg,True,0.1,"[49.839420318603516,67.08659362792969,128.5257568359375,179.7627716064453]"
3014,Data/img_align_celeba/020073.jpg,True,0.1,"[44.104793548583984,58.184547424316406,140.15611267089844,184.9300994873047]"
3014,Data/img_align_celeba/024208.jpg,True,0.1,"[36.913909912109375,57.21103286743164,134.72109985351562,188.14866638183594]"
3014,Data/img_align_celeba/029019.jpg,True,0.1,"[40.36172866821289,55.14356231689453,134.4784698486328,186.6309051513672]"
3077,Data/img_align_celeba/032381.jpg,True,0.1,"[58.42890167236328,60.6558952331543,144.77552795410156,186.6448516845703]"
3077,Data/img_align_celeba/041928.jpg,True,0.1,"[57.11894607543945,56.515533447265625,150.72645568847656,183.7135467529297]"
3077,Data/img_align_celeba/063846.jpg,True,0.1,"[46.654415130615234,65.12938690185547,129.68719482421875,176.59329223632812]"
3078,Data/img_align_celeba/012138.jpg,True,0.1,"[47.41413116455078,59.667545318603516,134.99090576171875,186.72769165039062]"
3078,Data/img_align_celeba/013308.jpg,True,0.1,"[42.18134689331055,57.816497802734375,132.4892578125,185.3284454345703]"
3078,Data/img_align_celeba/015489.jpg,True,0.1,"[46.96565628051758,61.62767791748047,133.59872436523438,185.6168670654297]"
3118,Data/img_align_celeba/022339.jpg,True,0.1,"[51.52896499633789,65.05630493164062,138.91714477539062,181.74349975585938]"
3118,Data/img_align_celeba/024408.jpg,True,0.1,"[45.1130256652832,62.55329513549805,131.6589813232422,180.8657684326172]"
3118,Data/img_align_celeba/029701.jpg,True,0.1,"[39.08819580078125,62.37117004394531,125.91114807128906,186.30064392089844]"
3239,Data/img_align_celeba/014532.jpg,True,0.1,"[49.4323616027832,66.2518081665039,135.3670654296875,183.4423828125]"
3239,Data/img_align_celeba/020648.jpg,True,0.1,"[43.72129440307617,62.66309356689453,133.00588989257812,188.31619262695312]"
3239,Data/img_align_celeba/025733.jpg,True,0.1,"[50.34193420410156,64.2247543334961,130.953125,193.78697204589844]"
3383,Data/img_align_celeba/039131.jpg,True,0.1,"[53.01464080810547,58.814781188964844,133.51116943359375,182.53466796875]"
3383,Data/img_align_celeba/041553.jpg,True,0.1,"[45.847923278808594,63.11320495605469,126.91969299316406,185.4438934326172]"
3383,Data/img_align_celeba/048664.jpg,True,0.1,"[51.1578254699707,68.3038330078125,130.34107971191406,186.80978393554688]"
3429,Data/img_align_celeba/011236.jpg,True,0.1,"[46.2880973815918,65.65127563476562,131.85150146484375,176.07369995117188]"
3429,Data/img_align_celeba/021487.jpg,True,0.1,"[57.115478515625,63.627784729003906,144.74903869628906,177.77435302734375]"
3429,Data/img_align_celeba/026644.jpg,True,0.1,"[51.71025466918945,65.99431610107422,137.35304260253906,181.3433380126953]"
3465,Data/img_align_celeba/022661.jpg,True,0.1,"[54.60174560546875,64.65568542480469,132.2270965576172,179.56207275390625]"
3465,Data/img_align_celeba/024191.jpg,True,0.1,"[53.02536392211914,61.455078125,134.29495239257812,180.04835510253906]"
3465,Data/img_align_celeba/035685.jpg,True,0.1,"[45.710205078125,59.3678092956543,139.12013244628906,186.11904907226562]"
3467,Data/img_align_celeba/011299.jpg,True,0.1,"[51.054351806640625,56.56184387207031,134.33314514160156,184.4672393798828]"
3467,Data/img_align_celeba/023897.jpg,True,0.1,"[55.19021224975586,62.10298538208008,124.84918975830078,177.8277130126953]"
3467,Data/img_align_celeba/038923.jpg,True,0.1,"[48.28987121582031,61.22108459472656,134.63587951660156,178.38758850097656]"
3509,Data/img_align_celeba/045544.jpg,True,0.1,"[48.641273498535156,57.75621795654297,137.39942932128906,183.63546752929688]"
3509,Data/img_align_celeba/053926.jpg,True,0.1,"[31.369630813598633,62.945281982421875,120.83404541015625,184.93142700195312]"
3509,Data/img_align_celeba/059804.jpg,True,0.1,"[35.454185485839844,61.06893539428711,128.55735778808594,184.89511108398438]"
3562,Data/img_align_celeba/016376.jpg,True,0.1,"[43.297908782958984,68.4769058227539,130.3861541748047,182.7327423095703]"
3562,Data/img_align_celeba/018028.jpg,True,0.1,"[48.735923767089844,68.57460021972656,130.77484130859375,184.17483520507812]"
3562,Data/img_align_celeba/026206.jpg,True,0.1,"[44.325355529785156,65.50279998779297,129.5904998779297,183.3059539794922]"
3684,Data/img_align_celeba/050629.jpg,True,0.1,"[42.808197021484375,55.80013656616211,134.36358642578125,166.92588806152344]"
3684,Data/img_align_celeba/055053.jpg,True,0.1,"[49.01065444946289,69.09229278564453,135.07891845703125,179.82662963867188]"
3684,Data/img_align_celeba/061612.jpg,True,0.1,"[53.368202209472656,72.85450744628906,135.4398956298828,178.2864227294922]"
3693,Data/img_align_celeba/005957.jpg,True,0.1,"[47.94830322265625,64.0945816040039,138.3488006591797,184.44261169433594]"
3693,Data/img_align_celeba/044409.jpg,True,0.1,"[55.20956802368164,60.81593322753906,149.1002960205078,187.85830688476562]"
3693,Data/img_align_celeba/052457.jpg,True,0.1,"[48.45984649658203,67.5738754272461,139.46551513671875,187.35452270507812]"
3848,Data/img_align_celeba/015485.jpg,True,0.1,"[47.42312240600586,63.51755905151367,138.33816528320312,183.4432373046875]"
3848,Data/img_align_celeba/023769.jpg,True,0.1,"[51.27740478515625,64.6394271850586,125.64044952392578,180.26824951171875]"
3848,Data/img_align_celeba/027171.jpg,True,0.1,"[39.94378662109375,68.7862777709961,123.59226989746094,176.85609436035156]"
3882,Data/img_align_celeba/023456.jpg,True,0.1,"[45.68605422973633,64.07758331298828,127.07881164550781,176.88356018066406]"
3882,Data/img_align_celeba/024284.jpg,True,0.1,"[52.31744384765625,65.10594177246094,128.44256591796875,174.00213623046875]"
3882,Data/img_align_celeba/028021.jpg,True,0.1,"[52.96880340576172,66.27182006835938,142.63494873046875,182.8917999267578]"
3918,Data/img_align_celeba/047623.jpg,True,0.1,"[44.778995513916016,66.1890640258789,130.85012817382812,178.88156127929688]"
3918,Data/img_align_celeba/066152.jpg,True,0.1,"[54.915042877197266,59.3577995300293,144.7942352294922,188.284912109375]"
3918,Data/img_align_celeba/071525.jpg,True,0.1,"[49.43190383911133,66.6346435546875,132.6764373779297,174.851806640625]"
3920,Data/img_align_celeba/007199.jpg,True,0.1,"[49.8554801940918,62.72248458862305,131.69204711914062,179.8531951904297]"
3920,Data/img_align_celeba/014876.jpg,True,0.1,"[55.330970764160156,63.61454772949219,138.00933837890625,175.50120544433594]"
3920,Data/img_align_celeba/015767.jpg,True,0.1,"[47.985992431640625,66.33102416992188,138.85116577148438,187.31053161621094]"
3972,Data/img_align_celeba/048574.jpg,True,0.1,"[44.05331802368164,65.86190795898438,134.45449829101562,179.12432861328125]"
3972,Data/img_align_celeba/063132.jpg,True,0.1,"[39.914939880371094,58.95185852050781,134.80421447753906,185.43023681640625]"
3972,Data/img_align_celeba/066777.jpg,True,0.1,"[0.28625887632369995,-58.90101623535156,88.49308013916016,66.87488555908203]"
4011,Data/img_align_celeba/022158.jpg,True,0.1,"[23.158781051635742,57.18510055541992,109.51638793945312,193.4486846923828]"
4011,Data/img_align_celeba/045988.jpg,True,0.1,"[49.785621643066406,68.24555206298828,129.39797973632812,193.54568481445312]"
4011,Data/img_align_celeba/057644.jpg,True,0.1,"[51.25033950805664,70.36547088623047,126.4029541015625,185.6316375732422]"
4015,Data/img_align_celeba/032501.jpg,True,0.1,"[30.86197280883789,54.89442825317383,128.8231658935547,193.9837188720703]"
4015,Data/img_align_celeba/050774.jpg,True,0.1,"[41.50984573364258,54.74421691894531,133.79087829589844,182.94290161132812]"
4015,Data/img_align_celeba/056787.jpg,True,0.1,"[39.67412185668945,57.0964241027832,137.409423828125,189.2547149658203]"
4016,Data/img_align_celeba/045159.jpg,True,0.1,"[43.090335845947266,62.917781829833984,128.17564392089844,181.73171997070312]"
4016,Data/img_align_celeba/049127.jpg,True,0.1,"[41.113258361816406,61.92729568481445,135.22274780273438,181.79844665527344]"
4016,Data/img_align_celeba/066819.jpg,True,0.1,"[47.48995590209961,53.173274993896484,144.7204132080078,194.3098907470703]"
4040,Data/img_align_celeba/046128.jpg,True,0.1,"[51.87931442260742,56.57719802856445,142.6953125,181.11927795410156]"
4040,Data/img_align_celeba/058657.jpg,True,0.1,"[60.03071212768555,62.401512145996094,148.7435302734375,183.79513549804688]"
4040,Data/img_align_celeba/062013.jpg,True,0.1,"[28.794185638427734,61.01715087890625,117.3451156616211,179.81463623046875]"
4056,Data/img_align_celeba/019552.jpg,True,0.1,"[49.798057556152344,69.37378692626953,131.83082580566406,178.45057678222656]"
4056,Data/img_align_celeba/039194.jpg,True,0.1,"[52.172054290771484,69.8536376953125,133.8267364501953,178.4589080810547]"
4056,Data/img_align_celeba/058044.jpg,True,0.1,"[54.10390853881836,70.17227172851562,136.39149475097656,178.11880493164062]"
4095,Data/img_align_celeba/070134.jpg,True,0.1,"[48.260398864746094,61.13261413574219,130.19378662109375,185.76336669921875]"
4095,Data/img_align_celeba/078057.jpg,True,0.1,"[49.091407775878906,65.62364196777344,133.1245574951172,183.45057678222656]"
4095,Data/img_align_celeba/093266.jpg,True,0.1,"[50.1056022644043,52.4213752746582,139.4751434326172,188.47772216796875]"
4112,Data/img_align_celeba/034984.jpg,True,0.1,"[30.374061584472656,53.38063430786133,119.47518920898438,186.03866577148438]"
